uuid,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
eb25b94c-f18b-11ec-a33e-acde48001122,HONDA,CR-Z,TWO-SEATER,1.5,4,AV7,X,6.6,6.0,6.3,45,145
eb25bd66-f18b-11ec-a33e-acde48001122,AUDI,R8 Spyder,TWO-SEATER,5.2,10,AM7,Z,17.5,11.7,14.9,19,347
eb25c16c-f18b-11ec-a33e-acde48001122,ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
eb25c5b8-f18b-11ec-a33e-acde48001122,KIA,Forte 5,FULL-SIZE,2.0,4,AV,X,8.0,6.0,7.1,40,169
eb25c9aa-f18b-11ec-a33e-acde48001122,FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,X,13.8,10.7,12.4,23,291
eb25cfe0-f18b-11ec-a33e-acde48001122,BMW,340i xDRIVE,COMPACT,3.0,6,M6,Z,12.2,8.5,10.5,27,246
eb25d4f4-f18b-11ec-a33e-acde48001122,KIA,SOUL ECO Dynamics,STATION WAGON - SMALL,2.0,4,A6,X,9.7,7.8,8.8,32,202
eb25d954-f18b-11ec-a33e-acde48001122,LEXUS,RC 300 AWD,SUBCOMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258
eb25ddfa-f18b-11ec-a33e-acde48001122,HYUNDAI,TUCSON,SUV - SMALL,2.0,4,AS6,X,10.1,7.8,9.0,31,213
eb25e214-f18b-11ec-a33e-acde48001122,VOLKSWAGEN,Atlas Cross Sport 4MOTION,SUV - SMALL,2.0,4,AS8,X,12.8,10.4,11.7,24,273
eb25e69c-f18b-11ec-a33e-acde48001122,MERCEDES-BENZ,E 400 CABRIOLET,SUBCOMPACT,3.0,6,AS7,Z,11.5,8.1,10.0,28,233
eb25eb42-f18b-11ec-a33e-acde48001122,VOLKSWAGEN,GOLF SPORTWAGEN,STATION WAGON - SMALL,1.8,4,M5,X,9.4,6.9,8.2,34,192
eb25ef48-f18b-11ec-a33e-acde48001122,JEEP,CHEROKEE 4X4,SUV - SMALL,2.4,4,A9,X,11.3,8.3,10.0,28,230
eb25f380-f18b-11ec-a33e-acde48001122,KIA,OPTIMA FE,FULL-SIZE,2.4,4,AS6,X,9.3,6.6,8.0,35,190
eb25f768-f18b-11ec-a33e-acde48001122,PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.7,9.2,11.1,25,260
eb25fb5a-f18b-11ec-a33e-acde48001122,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,344
eb25ff88-f18b-11ec-a33e-acde48001122,BMW,M2 Competition,SUBCOMPACT,3.0,6,AM7,Z,14.3,10.4,12.6,22,294
eb260370-f18b-11ec-a33e-acde48001122,BMW,M2,SUBCOMPACT,3.0,6,AM7,Z,11.8,8.8,10.4,27,244
eb26074e-f18b-11ec-a33e-acde48001122,JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6,M6,Z,15.3,9.9,12.9,22,302
eb260b36-f18b-11ec-a33e-acde48001122,DODGE,DART GT,MID-SIZE,2.4,4,A6,X,10.6,7.5,9.2,31,215
eb260f14-f18b-11ec-a33e-acde48001122,HYUNDAI,Venue,MID-SIZE,1.6,4,AV,X,8.0,7.0,7.5,38,178
eb2612f2-f18b-11ec-a33e-acde48001122,BMW,230i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.2,7.2,8.9,32,208
eb2616bc-f18b-11ec-a33e-acde48001122,BMW,M240i Cabriolet,SUBCOMPACT,3.0,6,M6,Z,12.8,8.8,11.0,26,256
eb261a90-f18b-11ec-a33e-acde48001122,TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6,AS5,X,14.3,11.1,12.9,22,297
eb261e50-f18b-11ec-a33e-acde48001122,PORSCHE,911 Carrera GTS Cabriolet,MINICOMPACT,3.0,6,M7,Z,12.7,9.0,11.0,26,258
eb26224c-f18b-11ec-a33e-acde48001122,CHEVROLET,Camaro SS,SUBCOMPACT,6.2,8,AS10,Z,14.6,8.9,12.1,23,282
eb262616-f18b-11ec-a33e-acde48001122,LEXUS,LS 500 AWD,MID-SIZE,3.4,6,AS10,Z,13.1,8.7,11.1,25,261
eb2629ea-f18b-11ec-a33e-acde48001122,KIA,FORTE,MID-SIZE,2.0,4,A6,X,9.8,6.6,8.4,34,193
eb262daa-f18b-11ec-a33e-acde48001122,MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.0,4,M6,X,8.5,6.2,7.5,38,175
eb26317e-f18b-11ec-a33e-acde48001122,HYUNDAI,Sonata,FULL-SIZE,2.4,4,AS6,X,9.3,7.1,8.3,34,198
eb26353e-f18b-11ec-a33e-acde48001122,VOLVO,XC60 AWD,SUV - SMALL,3.2,6,AS6,X,13.2,9.5,11.5,25,264
eb26393a-f18b-11ec-a33e-acde48001122,CHEVROLET,CAMARO,SUBCOMPACT,2.0,4,M6,Z,11.9,8.0,10.1,28,236
eb263d04-f18b-11ec-a33e-acde48001122,SUBARU,WRX AWD,COMPACT,2.0,4,AV8,Z,12.6,9.6,11.2,25,256
eb2640c4-f18b-11ec-a33e-acde48001122,SUBARU,IMPREZA AWD,COMPACT,2.5,4,M5,Z,12.6,9.5,11.2,25,258
eb26448e-f18b-11ec-a33e-acde48001122,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292
eb264862-f18b-11ec-a33e-acde48001122,RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,X,13.9,9.5,11.9,24,279
eb264c54-f18b-11ec-a33e-acde48001122,NISSAN,Rogue,SUV - SMALL,2.5,4,AV,X,9.1,7.1,8.2,34,192
eb265028-f18b-11ec-a33e-acde48001122,FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.6,13.0,16.1,18,258
eb2653f2-f18b-11ec-a33e-acde48001122,AUDI,RS 3,SUBCOMPACT,2.5,5,AM7,Z,12.4,8.4,10.6,27,247
eb2657bc-f18b-11ec-a33e-acde48001122,GMC,TERRAIN AWD,SUV - SMALL,1.5,4,A9,X,9.6,8.3,9.0,31,210
eb265b86-f18b-11ec-a33e-acde48001122,GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344
eb265f5a-f18b-11ec-a33e-acde48001122,VOLKSWAGEN,BEETLE,COMPACT,1.8,4,AS6,X,9.7,7.2,8.5,33,199
eb266324-f18b-11ec-a33e-acde48001122,DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,29,225
eb2666ee-f18b-11ec-a33e-acde48001122,AUDI,A4 ULTRA,COMPACT,2.0,4,AM7,Z,8.6,6.4,7.6,37,177
eb266ab8-f18b-11ec-a33e-acde48001122,HYUNDAI,ELANTRA COUPE,MID-SIZE,2.0,4,AS6,X,9.6,6.8,8.3,34,191
eb266e82-f18b-11ec-a33e-acde48001122,NISSAN,ROGUE,SUV - SMALL,2.5,4,AV,X,9.2,7.0,8.2,34,192
eb267238-f18b-11ec-a33e-acde48001122,MERCEDES-BENZ,AMG GLS 63 4MATIC,SUV - STANDARD,4.7,8,A7,Z,17.8,13.2,15.7,18,370
eb267602-f18b-11ec-a33e-acde48001122,GMC,TERRAIN AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,17,272
eb2679d6-f18b-11ec-a33e-acde48001122,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AM7,Z,10.2,8.3,9.3,30,217
eb267d96-f18b-11ec-a33e-acde48001122,KIA,Optima,FULL-SIZE,2.4,4,AS6,X,9.5,7.1,8.4,34,199
eb268160-f18b-11ec-a33e-acde48001122,ACURA,RDX AWD A-SPEC,SUV - SMALL,2.0,4,AS10,Z,11.3,9.1,10.3,27,242
eb268520-f18b-11ec-a33e-acde48001122,CHEVROLET,MALIBU,MID-SIZE,1.5,4,A6,X,8.8,6.5,7.8,36,182
eb268912-f18b-11ec-a33e-acde48001122,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1,9.0,11.3,25,260
eb268cdc-f18b-11ec-a33e-acde48001122,HYUNDAI,Elantra GT,FULL-SIZE,2.0,4,M6,X,9.8,7.4,8.7,32,207
eb26909c-f18b-11ec-a33e-acde48001122,FORD,Mustang,SUBCOMPACT,2.3,4,AS10,X,11.2,7.3,9.4,30,221
eb26945c-f18b-11ec-a33e-acde48001122,LAMBORGHINI,HURACAN SPYDER AWD,TWO-SEATER,5.2,10,AM7,Z,17.2,12.3,15.0,19,350
eb26981c-f18b-11ec-a33e-acde48001122,TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.6,11.2,12.5,23,292
eb269bdc-f18b-11ec-a33e-acde48001122,PORSCHE,911 GT3 RS,TWO-SEATER,4.0,6,AM7,Z,16.1,12.2,14.4,20,335
eb269f92-f18b-11ec-a33e-acde48001122,VOLVO,V90 CC T5 AWD,STATION WAGON - MID-SIZE,2.0,4,AS8,Z,10.4,7.7,9.2,31,214
eb26a348-f18b-11ec-a33e-acde48001122,MINI,COOPER COUPE,TWO-SEATER,1.6,4,A6,Z,8.5,6.6,7.6,37,175
eb26a730-f18b-11ec-a33e-acde48001122,AUDI,S5 Cabriolet,SUBCOMPACT,3.0,6,AS8,Z,12.1,9.1,10.8,26,252
eb26aaf0-f18b-11ec-a33e-acde48001122,BMW,430i Coupe,COMPACT,2.0,4,AS8,Z,10.1,7.0,8.7,32,204
eb26aeb0-f18b-11ec-a33e-acde48001122,MAZDA,MAZDA5,MINIVAN,2.5,4,M6,X,11.1,8.3,9.8,29,229
eb26b266-f18b-11ec-a33e-acde48001122,MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,8.4,6.4,7.5,38,172
eb26b626-f18b-11ec-a33e-acde48001122,MITSUBISHI,LANCER EVOLUTION,COMPACT,2.0,4,AM6,Z,14.2,10.5,12.5,23,288
eb26b9e6-f18b-11ec-a33e-acde48001122,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356
eb26bda6-f18b-11ec-a33e-acde48001122,PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,M7,Z,12.9,9.2,11.2,25,258
eb26c166-f18b-11ec-a33e-acde48001122,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.6,11.3,13.7,21,320
eb26c51c-f18b-11ec-a33e-acde48001122,SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4,AV,X,8.7,6.6,7.8,36,179
eb26c8dc-f18b-11ec-a33e-acde48001122,MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3.0,6,AS8,Z,15.9,9.7,13.1,22,301
eb26cc92-f18b-11ec-a33e-acde48001122,TOYOTA,4RUNNER (Part-Time 4WD),SUV - STANDARD,4.0,6,AS5,X,14.3,11.1,12.9,22,297
eb26d05c-f18b-11ec-a33e-acde48001122,GMC,Terrain AWD,SUV - SMALL,2.0,4,A9,Z,11.2,9.0,10.2,28,239
eb26d412-f18b-11ec-a33e-acde48001122,DODGE,CHARGER AWD,FULL-SIZE,5.7,8,A5,X,16.0,10.1,13.3,21,312
eb26d7fa-f18b-11ec-a33e-acde48001122,SCION,iM,MID-SIZE,1.8,4,AV7,X,8.3,6.3,7.4,38,173
eb26dbf6-f18b-11ec-a33e-acde48001122,LINCOLN,Corsair AWD,SUV - SMALL,2.3,4,AS8,X,11.1,8.2,9.8,29,230
eb26dfb6-f18b-11ec-a33e-acde48001122,SCION,tC,COMPACT,2.5,4,M6,X,10.2,7.6,9.0,31,207
eb26e36c-f18b-11ec-a33e-acde48001122,FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.7,11.8,13.8,20,323
eb26e72c-f18b-11ec-a33e-acde48001122,DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10.0,13.4,21,313
eb26eae2-f18b-11ec-a33e-acde48001122,MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3.0,6,AS6,Z,11.5,8.5,10.2,28,235
eb26ee98-f18b-11ec-a33e-acde48001122,AUDI,Q3,COMPACT,2.0,4,AS6,Z,12.0,8.2,10.3,27,237
eb26f258-f18b-11ec-a33e-acde48001122,TOYOTA,Sienna,MINIVAN,3.5,6,AS8,X,12.6,9.1,11.0,26,259
eb26f60e-f18b-11ec-a33e-acde48001122,ROLLS-ROYCE,Cullinan Black Badge,STATION WAGON - MID-SIZE,6.7,12,AS8,Z,20.1,12.1,16.5,17,386
eb26f9c4-f18b-11ec-a33e-acde48001122,CHRYSLER,300,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
eb26fd7a-f18b-11ec-a33e-acde48001122,PORSCHE,BOXSTER,TWO-SEATER,2.0,4,AM7,Z,10.5,8.0,9.4,30,219
eb27013a-f18b-11ec-a33e-acde48001122,JEEP,Compass 4X4,SUV - SMALL,2.4,4,M6,X,10.8,7.6,9.4,30,221
eb2704fa-f18b-11ec-a33e-acde48001122,CHEVROLET,Silverado FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.7,11.9,14.0,20,329
eb2708b0-f18b-11ec-a33e-acde48001122,VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,AS8,X,10.6,8.7,9.8,29,229
eb270c70-f18b-11ec-a33e-acde48001122,SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,AV6,X,9.3,7.1,8.3,34,191
eb271026-f18b-11ec-a33e-acde48001122,DODGE,DART,MID-SIZE,2.4,4,A6,X,10.1,6.8,8.6,33,202
eb2713e6-f18b-11ec-a33e-acde48001122,RAM,1500 HFE eTorque,PICKUP TRUCK - STANDARD,3.6,6,A8,X,11.6,9.0,10.4,27,246
eb271792-f18b-11ec-a33e-acde48001122,LINCOLN,Continental AWD,FULL-SIZE,3.0,6,AS6,X,14.5,9.8,12.3,23,289
eb271b3e-f18b-11ec-a33e-acde48001122,FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.6,10.1,12.0,24,282
eb271efe-f18b-11ec-a33e-acde48001122,MERCEDES-BENZ,C 300 4MATIC,COMPACT,2.0,4,AS7,Z,10.1,7.8,9.0,31,212
eb2722be-f18b-11ec-a33e-acde48001122,MERCEDES-BENZ,B 250,STATION WAGON - SMALL,2.0,4,AS7,Z,9.2,6.6,8.0,35,184
eb2727aa-f18b-11ec-a33e-acde48001122,DODGE,Charger (MDS),FULL-SIZE,6.4,8,A8,Z,15.8,9.6,13.0,22,304
eb272bd8-f18b-11ec-a33e-acde48001122,GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,306
eb272fd4-f18b-11ec-a33e-acde48001122,HYUNDAI,Accent,COMPACT,1.6,4,M6,X,7.8,6.1,7.0,40,168
eb2733b2-f18b-11ec-a33e-acde48001122,HYUNDAI,SONATA HYBRID,MID-SIZE,2.0,4,AM6,X,5.9,5.3,5.6,50,133
eb273790-f18b-11ec-a33e-acde48001122,DODGE,JOURNEY FFV,SUV - SMALL,3.6,6,A6,X,14.2,9.4,12.0,24,276
eb273b5a-f18b-11ec-a33e-acde48001122,SUBARU,WRX,COMPACT,2.5,4,M6,Z,13.8,10.2,12.2,23,281
eb273f92-f18b-11ec-a33e-acde48001122,MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.8,9.0,31,207
eb2745be-f18b-11ec-a33e-acde48001122,CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
eb274a96-f18b-11ec-a33e-acde48001122,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292
eb274eec-f18b-11ec-a33e-acde48001122,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329
eb275612-f18b-11ec-a33e-acde48001122,BMW,320i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193
eb275cca-f18b-11ec-a33e-acde48001122,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324
eb2761b6-f18b-11ec-a33e-acde48001122,MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.0,4,M6,X,8.0,5.8,7.0,40,161
eb27660c-f18b-11ec-a33e-acde48001122,BMW,M240i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.2,7.8,9.7,29,227
eb276a44-f18b-11ec-a33e-acde48001122,NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8,24,278
eb276e54-f18b-11ec-a33e-acde48001122,VOLKSWAGEN,BEETLE,COMPACT,2.5,5,M5,X,11.2,7.7,9.6,29,221
eb27726e-f18b-11ec-a33e-acde48001122,HYUNDAI,SONATA HYBRID LIMITED,MID-SIZE,2.0,4,AM6,X,6.0,5.5,5.8,49,136
eb27766a-f18b-11ec-a33e-acde48001122,CHEVROLET,Spark,SUBCOMPACT,1.4,4,AV,X,7.9,6.2,7.1,40,167
eb277c28-f18b-11ec-a33e-acde48001122,LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2.0,4,AS9,Z,10.9,8.0,9.6,29,225
eb278114-f18b-11ec-a33e-acde48001122,LEXUS,NX 300 AWD,SUV - SMALL,2.0,4,AS6,Z,10.7,8.5,9.7,29,226
eb27856a-f18b-11ec-a33e-acde48001122,TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,15.9,12.3,14.3,20,329
eb27898e-f18b-11ec-a33e-acde48001122,JEEP,RENEGADE FFV,SUV - SMALL,2.4,4,A9,E,14.4,10.2,12.5,23,206
eb278e20-f18b-11ec-a33e-acde48001122,CHEVROLET,CRUZE LIMITED ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,167
eb279226-f18b-11ec-a33e-acde48001122,CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.8,4,AS6,X,9.3,7.0,8.3,34,193
eb279618-f18b-11ec-a33e-acde48001122,JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6,M6,Z,15.3,10.0,12.9,22,302
eb279a00-f18b-11ec-a33e-acde48001122,HONDA,CIVIC COUPE,COMPACT,2.0,4,M6,X,8.5,6.1,7.4,38,173
eb279dde-f18b-11ec-a33e-acde48001122,LINCOLN,MKZ HYBRID,MID-SIZE,2.0,4,AV,X,5.7,6.2,5.9,48,139
eb27a1ee-f18b-11ec-a33e-acde48001122,FORD,EXPEDITION EL 4X4,SUV - STANDARD,3.5,6,AS6,X,16.4,12.1,14.4,20,338
eb27a5cc-f18b-11ec-a33e-acde48001122,GMC,Yukon XL FFV,SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298
eb27a996-f18b-11ec-a33e-acde48001122,MITSUBISHI,RVR,SUV - SMALL,2.0,4,AV6,X,9.7,7.8,8.8,32,204
eb27af90-f18b-11ec-a33e-acde48001122,GMC,CANYON 4WD,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.7,9.6,11.3,25,263
eb27b49a-f18b-11ec-a33e-acde48001122,KIA,RIO,COMPACT,1.6,4,M6,X,8.3,6.4,7.5,38,175
eb27b904-f18b-11ec-a33e-acde48001122,FORD,T-150 WAGON,VAN - PASSENGER,3.7,6,AS6,X,16.8,13.1,15.1,19,354
eb27bd46-f18b-11ec-a33e-acde48001122,RAM,1500 Classic FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,X,13.9,9.6,11.9,24,280
eb27c160-f18b-11ec-a33e-acde48001122,HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS6,X,9.4,6.5,8.1,35,191
eb27c570-f18b-11ec-a33e-acde48001122,JAGUAR,XK COUPE,MINICOMPACT,5.0,8,AS6,Z,14.8,9.9,12.6,22,290
eb27c976-f18b-11ec-a33e-acde48001122,VOLKSWAGEN,JETTA HYBRID,COMPACT,1.4,4,AM7,Z,5.7,4.9,5.3,53,124
eb27cd68-f18b-11ec-a33e-acde48001122,FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,11.3,8.2,9.9,29,228
eb27d150-f18b-11ec-a33e-acde48001122,MERCEDES-BENZ,AMG GT COUPE,TWO-SEATER,4.0,8,AS7,Z,14.5,10.8,12.8,22,303
eb27d542-f18b-11ec-a33e-acde48001122,FORD,F-150,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.6,10.6,12.8,22,294
eb27d95c-f18b-11ec-a33e-acde48001122,LEXUS,LC 500h,SUBCOMPACT,3.5,6,AV10,Z,8.9,7.0,8.0,35,187
eb27df42-f18b-11ec-a33e-acde48001122,LEXUS,UX 250h,COMPACT,2.0,4,AV6,X,5.5,5.7,5.6,50,130
eb27e442-f18b-11ec-a33e-acde48001122,CHEVROLET,Blazer,SUV - SMALL,2.5,4,A9,X,11.3,8.9,10.2,28,238
eb27e8e8-f18b-11ec-a33e-acde48001122,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230
eb27ed20-f18b-11ec-a33e-acde48001122,GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,15.9,11.2,13.8,20,323
eb27f19e-f18b-11ec-a33e-acde48001122,LEXUS,RX 450h L AWD,SUV - STANDARD,3.5,6,AV6,Z,8.1,8.4,8.1,35,190
eb27f5e0-f18b-11ec-a33e-acde48001122,JAGUAR,F-TYPE Convertible R-Dynamic,TWO-SEATER,3.0,6,AS8,Z,12.4,8.8,10.8,26,253
eb27f9dc-f18b-11ec-a33e-acde48001122,HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV,X,7.0,5.9,6.5,43,151
eb27fdba-f18b-11ec-a33e-acde48001122,KIA,SOUL,STATION WAGON - SMALL,1.6,4,A6,X,9.8,7.9,8.9,32,205
eb2801a2-f18b-11ec-a33e-acde48001122,TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,AS6,X,12.7,10.5,11.7,24,274
